isbn,bookid,bookname,author,publish,releaseDate
7-5060-0883-1,B_50600883_002,佛本生故事　中,平常　编文,东方出版社,917798400000
7-5060-0883-1,B_50600883_003,佛本生故事　下,平常　编文,东方出版社,917798400000
7-5060-0884-X,B_50600884_001,公案 三(上),陶良华　编文,东方出版社,917798400000
7-5060-0884-X,B_50600884_002,公案 三(中),陶良华　编文,东方出版社,917798400000
7-5060-0884-X,B_50600884_003,公案 三(下),陶良华　编文,东方出版社,917798400000
7-5060-0888-2,B_50600888_001,佛教画藏·菩萨部：文殊·地藏·普贤 上,郑茜　编文,东方出版社,917798400000
7-5060-0888-2,B_50600888_002,佛教画藏·菩萨部：文殊·地藏·普贤 中,郑茜　编文,东方出版社,917798400000
7-5060-0888-2,B_50600888_003,佛教画藏·菩萨部：文殊·地藏·普贤 下,郑茜　编文,东方出版社,917798400000
7-5060-0902-1,B_50600902_001,中外儒学比较研究,张立文 李甦平　主编,东方出版社,896630400000
7-5060-0922-6,B_50600922_001,法华经（上）,古干　主编,东方出版社,917798400000
7-5060-0922-6,B_50600922_002,地藏经（中）,古干　主编,东方出版社,917798400000
7-5060-0922-6,B_50600922_003,胜鬘经（下）,古干主　编,东方出版社,917798400000
7-5060-0923-4,B_50600923_001,偈颂（上）,陶良华　编文,东方出版社,917798400000
7-5060-0923-4,B_50600923_002,偈颂（中）,陶良华　编文,东方出版社,917798400000
7-5060-0923-4,B_50600923_003,偈颂（下）,陶良华　编文,东方出版社,917798400000
7-5060-0935-8,B_50600935_001,理性的彷徨：现代西方宗教哲学理性观比较,张志刚　著,东方出版社,875635200000
7-5060-0949-8,B_50600949_001,可理解的荣格：荣格心理学的个人方面,[美]哈里·A.威尔默(Harry A.Wilmer)　著,东方出版社,904579200000
7-5060-0953-6,B_50600953_001,佛教画藏：禅师 上,史程　编文,东方出版社,917798400000
7-5060-0953-6,B_50600953_002,佛教画藏：禅师 中,史程　编文,东方出版社,917798400000
7-5060-0953-6,B_50600953_003,佛教画藏：禅师 下,史程　编文,东方出版社,917798400000
7-5060-0957-9,B_50600957_001,走向解释学的真理——伽达默尔哲学述评,严平　著,东方出版社,893952000000
7-5060-0960-9,B_50600960_004,大势至菩萨,俞学明　编文,东方出版社,928166400000
7-5060-0961-7,B_50600961_001,大居士　上,宋红　编文,东方出版社,917798400000
7-5060-0961-7,B_50600961_002,大居士　中,宋红　编文,东方出版社,917798400000
7-5060-0961-7,B_50600961_003,大居士　下,宋红　编文,东方出版社,917798400000
7-5060-0973-0,B_50600973_001,新思潮：西方非理性主义述评,王守昌　著,东方出版社,904579200000
7-5060-0975-7,B_50600975_001,日性良知与月性良知：论道德、合法性和正义感的心理基础,[美]默里·斯坦因(Murray Stein)　著,东方出版社,904579200000
7-5060-0987-0,B_50600987_001,李退溪思想研究,张立文　著,东方出版社,880905600000
7-5060-1030-5,B_50601030_001,柏拉图入门,[美]罗伯特·卡弗利尔(Robert Cavalier)　文,东方出版社,909849600000
7-5060-1031-3,B_50601031_001,克尔凯戈尔入门,[美]唐纳德·D.帕尔默(Donald D.Palmer)　著,东方出版社,909849600000
7-5060-1034-8,B_50601034_001,海德格尔入门,[美]艾里克·勒梅 [美]詹尼弗·皮兹　著,东方出版社,901900800000
7-5060-1044-5,B_50601044_001,除盖障菩萨,俞学明　编文,东方出版社,928166400000
7-5060-1044-5,B_50601044_002,虚空藏菩萨,俞学明　编文,东方出版社,928166400000
7-5060-1044-5,B_50601044_003,金刚手菩萨,俞学明　编文,东方出版社,928166400000
7-5060-1044-5,B_50601044_004,药王菩萨,俞学明　编文,东方出版社,928166400000
7-5060-1045-3,B_50601045_001,居士林 上,宋红　编文,东方出版社,917798400000
7-5060-1045-3,B_50601045_002,居士林 中,宋红　编文,东方出版社,917798400000
7-5060-1045-3,B_50601045_003,居士林 下,宋红　编文,东方出版社,917798400000
7-5060-1047-X,B_50601047_001,五方佛 上,梁黎　编文,东方出版社,933436800000
7-5060-1047-X,B_50601047_002,五方佛 下,梁黎　编文,东方出版社,933436800000
7-5060-1061-5,B_50601061_001,深度心理学与新道德,[德]埃利希·诺伊曼(Erich Neumann)　著,东方出版社,904579200000
7-5060-1074-7,B_50601074_001,护法神　上,史程　编文,东方出版社,928166400000
7-5060-1074-7,B_50601074_002,护法神　中,史程　编文,东方出版社,928166400000
7-5060-1074-7,B_50601074_003,护法神　下,史程　编文,东方出版社,928166400000
7-5060-1088-7,B_50601088_001,俄罗斯思想的宗教阐释,[俄]尼·亚·别尔嘉耶夫　著,东方出版社,904579200000
7-5060-1105-0,B_50601105_001,禅灯梦影,丘桑　主编,东方出版社,896630400000
7-5060-1156-5,B_50601156_001,佛诗 二（上）,南山　编文,东方出版社,933436800000
7-5060-1156-5,B_50601156_002,佛诗 二（中）,南山　编文,东方出版社,933436800000
7-5060-1156-5,B_50601156_003,佛诗 二（下）,南山　编文,东方出版社,933436800000
7-5060-1170-0,B_50601170_001,心理疾病的测量与治疗,杨亚琴　主编,东方出版社,917798400000
7-5060-1181-6,B_50601181_001,唯物史观新视野,中共中央党校本书课题组　编著,东方出版社,922896000000
7-5060-1190-5,B_50601190_001,基督教文化学刊（1999第1辑）,中国人民大学基督教文化研究所　主编,东方出版社,922896000000
7-5060-1212-X,B_50601212_001,当代神道教,张大柘　著,东方出版社,938707200000
7-5060-1244-8,B_50601244_001,当代新兴宗教,戴康生　主编,东方出版社,943977600000
7-5060-1279-0,B_50601279_001,中国伊斯兰探秘,金宜久　著,东方出版社,936115200000
7-5060-1318-5,B_50601318_001,印度哲学——吠陀经探义和奥义书解析,巫白慧 著,东方出版社,975600000000
7-5060-1356-8,B_50601356_001,郭店楚墓竹简思想研究,丁四新  著,东方出版社,970329600000
7-5060-1410-6,B_50601410_001,现代之后：20世纪晚期西方哲学,姚大志　著,东方出版社,975600000000
7-5060-1466-1,B_50601466_001,中国与欧洲早期宗教和哲学交流史,张西平　著,东方出版社,996595200000
7-5060-1475-0,B_50601475_001,基督教的神秘主义,王亚平  著,东方出版社,1001865600000
7-5060-1488-2,B_50601488_001,批评的西方哲学史,D.J.奥康诺　主编　洪汉鼎　等译,东方出版社,1114876800000
7-5060-1492-0,B_50601492_001,信仰与理性：早期基督教教父思想家评传,王晓朝　主编,东方出版社,1001865600000
7-5060-1503-X,B_50601503_001,宗教与文化——早期基督教与教父哲学研究,陈村富　主编,东方出版社,1004544000000
7-5060-1509-9,B_50601509_001,我们时代的思想姿态,孙周兴　著,东方出版社,1004544000000
7-5060-1552-8,B_50601552_001,制造知识——建构主义与科学的与境性,［奥］卡林·诺尔-塞蒂纳　著　王善博　等译,东方出版社,1007136000000
7-5060-1562-5,B_50601562_001,印度吠檀多不二论哲学,孙晶 著,东方出版社,1022860800000
7-5060-1595-1,B_50601595_001,思想前沿与文化后方,万俊人,东方出版社,1033401600000
7-5060-1613-3,B_50601613_001,康德与中国现代美学思想,杨平　著,东方出版社,1036080000000
7-5060-1621-4,B_50601621_001,从分析哲学走向实用主义：普特南哲学研究,陈亚军 著,东方出版社,1036080000000
7-5060-1632-X,B_50601632_001,道德理想主义与伦理中心主义——儒家伦理及其现代处境,任剑涛　著,东方出版社,1056988800000
7-5060-1670-2,B_50601670_001,大乘佛教与当代社会,佛源　主编,东方出版社,1070208000000
7-5060-1731-8,B_50601731_001,荣格心理学与佛教,刘耀中　李以洪　著,东方出版社,1080748800000
7-5060-1755-5,B_50601755_001,《圣经》与希伯来民间文学,张朝柯　著,东方出版社,1072886400000
7-5060-1839-X,B_50601839_001,“西方马克思主义”命题辞典,陈学明　著,东方出版社,1099238400000
7-5060-1839-X,B_50601839_001,“西方马克思主义”命题辞典,陈学明　著,东方出版社,1099238400000
7-5060-1877-2,B_50601877_001,杜兰讲述哲学的故事,［美］威尔·杜兰　著　汪小春　译,东方出版社,1096560000000
7-5060-2014-9,B_50602014_001,人到40——能做的事和该做的事,［日］国司义彦　著　李晴　译,东方出版社,1093968000000
7-5060-2025-4,B_50602025_001,圣经的故事,亨德里克·威廉·房龙　著　周英富　译,东方出版社,1104508800000
7-5060-2046-7,B_50602046_001,哲学与人生,傅佩荣　著,东方出版社,1104508800000
7-5060-2055-6,B_50602055_001,神仙传,干春松　著,东方出版社,1104508800000
7-5060-2064-5,B_50602064_001,郁闷与喧嚣——世纪青年心态破解,傅治平　著,东方出版社,1104508800000
7-5060-2101-3,B_50602101_001,青山道场——庄禅与中国诗学精神,刘士林　主编　刘成纪　著,东方出版社,1109606400000
7-5060-2112-9,B_50602112_001,认识与谬误,［奥地利］恩斯特·马赫　著,东方出版社,1120147200000
7-5060-2201-X,B_50602201_001,梁启超谈佛,梁启超　著,东方出版社,1117555200000
7-5060-2245-1,B_50602245_001,基督时代,［美］威尔·杜兰　著　台北幼狮文化公司　译,东方出版社,1122825600000
7-5060-2287-7,B_50602287_001,解读心灵——心理健康手册,北京市社科联　编,东方出版社,1125504000000
978-7-5060-2303-0,B_50602303_001,哲学 科学 常识,陈嘉映　著,东方出版社,1170259200000
7-5060-2342-3,B_50602342_001,亲历宗教（东方卷）,［英］玛丽·帕特·费舍尔　著,东方出版社,1130774400000
7-5060-2343-1,B_50602343_001,亲历宗教（西方卷）,玛丽·帕特·费舍尔　著　秦英　译,东方出版社,1130774400000
7-5060-2371-7,B_50602371_001,转型期的中国基督教——浙江基督教个案研究,陈村富  著,东方出版社,1133366400000
7-5060-2404-7,B_50602404_001,认识论与心理学,石向实　著,东方出版社,1138723200000
7-5060-2419-5,B_50602419_001,简易管理,高乾源　著,东方出版社,1138723200000
7-5060-2432-2,B_50602432_001,后果评价与实践理性,［印］阿马蒂亚·森　著　应奇　编,东方出版社,1143820800000
7-5060-2479-9,B_50602479_001,女权主义哲学——问题，理论和应用,(美)詹妮特·A. 克莱妮 编著,东方出版社,1146412800000
7-5060-2526-4,B_50602526_001,基督教文化160问,卓新平　主编,东方出版社,1149091200000
7-5060-2527-2,B_50602527_001,伊斯兰教文化150问,金宜久　主编,东方出版社,1149091200000
7-5060-2528-0,B_50602528_001,佛教文化150问,杨曾文　主编,东方出版社,1149091200000
7-5060-2532-9,B_50602532_001,没有人不可替代,施伟德　著,东方出版社,1149091200000
7-5060-2536-1,B_50602536_001,道教文化100问,王卡　主编,东方出版社,1149091200000
7-5060-2586-8,B_50602586_001,儒学笔记,滕贞甫　著,东方出版社,1154361600000
978-7-5060-2597-3,B_50602597_001,意义、真理与行动——实用主义经典文选,［美］苏珊·哈克　主编　陈波　尚新建　副主编,东方出版社,1170259200000
7-5060-2640-6,B_50602640_001,伊斯兰文化与中国本土文化的整合,张宗奇　著,东方出版社,1157040000000
7-5060-2654-6,B_50602654_001,黄老管理——人生的智慧与成功方略,［美］张绪通　著,东方出版社,1164902400000
7-5060-2670-8,B_50602670_001,心灵的慰藉——中国人的宗教世界,国风　著,东方出版社,1164902400000
978-7-5060-2679-6,B_50602679_002,易经之道,许文胜　著,东方出版社,1199116800000
7-5060-2688-0,B_50602688_001,禅悟的实证：禅宗思想的科学发凡,周昌乐  著,东方出版社,1164902400000
7-5060-2690-2,B_50602690_001,道教生态伦理思想研究,蒋朝君　著,东方出版社,1164902400000
978-7-5060-2722-9,B_50602722_001,西洋哲学史纲,黄忏华　著,东方出版社,1177948800000
978-7-5060-2751-9,B_50602751_001,庄子看人生,刘冬颖　著,东方出版社,1175356800000
978-7-5060-2756-4,B_50602756_001,张东荪讲西洋哲学,张东荪 著,东方出版社,1175356800000
978-7-5060-2764-9,B_50602764_001,暮色中的十字架——赵林随思录,赵林  著,东方出版社,1175356800000
978-7-5060-2779-3,B_50602779_001,生命的大智慧——老子,余培林　编撰,东方出版社,1177948800000
978-7-5060-2780-9,B_50602780_001,佛学的革命——六祖坛经,杨惠南　编撰,东方出版社,1177948800000
978-7-5060-2825-7,B_50602825_001,信用是什么——信用读本：寓言、故事及答问,郭生祥　著,东方出版社,1185897600000
978-7-5060-2859-2,B_50602859_001,信用中国——中国如何定价世界和自己,郭生祥　著,东方出版社,1185897600000
978-7-5060-2886-8,B_50602886_001,在少林遇见他们,李阳泉　著,东方出版社,1191168000000
978-7-5060-2910-0,B_50602910_001,道教与中国养生智慧,詹石窗　主撰,东方出版社,1196438400000
978-7-5060-2930-8,B_50602930_001,儒家思想讲演录,方尔加　著,东方出版社,1191168000000
978-7-5060-2933-9,B_50602933_001,上古天书与日常生活,沙野　著,东方出版社,1191168000000
978-7-5060-2992-6,B_50602992_001,有趣的悖论和佯谬,黄儒经  吴晓兰  编著,东方出版社,1204300800000
978-7-5060-3003-8,B_50603003_001,中国哲学史,钟泰　著,东方出版社,1199116800000
978-7-5060-3012-0,B_50603012_001,中国道教史,傅勤家　著,东方出版社,1199116800000
978-7-5060-3027-4,B_50603027_001,和谐之道,许文胜　著,东方出版社,1201795200000
978-7-5060-3047-2,B_50603047_001,马克思主义之后的马克思——卡尔·马克思的哲学,[法]汤姆·洛克曼　著,东方出版社,1212249600000
978-7-5060-3052-6,B_50603052_001,做最完美的自己——身心健康七步精神训练法,［德］库尔特·特佩魏因　费力克斯·埃施巴赫尔　著　任飞飞　译,东方出版社,1201795200000
978-7-5060-3077-9,B_50603077_001,李叔同集,李叔同　著,东方出版社,1217520000000
978-7-5060-3083-0,B_50603083_001,现代新儒学与自由主义——徐复观殷海光政治哲学比较研究,谢晓东　著,东方出版社,1206979200000
978-7-5060-3091-5,B_50603091_001,做情绪的女王,张晓梅　著,东方出版社,1209571200000
978-7-5060-3119-6,B_50603119_001,生活问禅——禅理小故事中的大智慧,寒山居士　著,东方出版社,1212249600000
978-7-5060-3120-2,B_50603120_001,韩国儒学与现代精神,柳承国　著,东方出版社,1212249600000
978-7-5060-3123-3,B_50603123_001,乐在工作——高效能工作的11条快乐原则,［美］莱斯利·耶基斯　著　黄丽荣　译,东方出版社,1206979200000
978-7-5060-3146-2,B_50603146_001,张绪通解读鬼谷子,[美]张绪通 著,东方出版社,1212249600000
978-7-5060-3176-9,B_50603176_001,儒商修养——儒家组织行为实践的当代原则,曹军　著,东方出版社,1209571200000
978-7-5060-3223-0,B_50603223_001,自我选择至上——柳鸣九谈萨特,柳鸣九　著,东方出版社,1222790400000
978-7-5060-3328-2,B_50603328_001,韩国儒学思想研究,崔英辰　著,东方出版社,1225468800000
978-7-5060-3443-2,B_50603443_001,古代诺斯替主义经典文集,张新樟　编译,东方出版社,1512057600000
978-7-5060-3453-1,B_50603453_001,道德经释义,任法融　著,东方出版社,1238515200000
978-7-5060-3456-2,B_50603456_001,佛教伦理,圆持　编著,东方出版社,1238515200000
978-7-5060-3683-2,B_50603683_001,青年信仰与宗教文化,李素菊　著,东方出版社,1254326400000
978-7-5060-3920-8,B_50603920_001,《朱子语类》经学思想研究,杨燕　著,东方出版社,1280592000000
978-7-5060-3945-1,B_50603945_001,让孩子听话的心理战,陈兰　著,东方出版社,1288540800000
978-7-5060-4272-7,B_50604272_001,周易玄机,陈望衡　著,东方出版社,1314806400000
978-7-5060-4290-1,B_50604290_001,创造和谐,成中英　著,东方出版社,1320076800000
978-7-5060-4318-2,B_50604318_001,一花一世界,王欢　编绘,东方出版社,1320076800000
978-7-5060-5388-4,B_50605388_001,弗洛伊德：爱欲与升华,李建中　尹玉敏　著,东方出版社,1362067200000
978-7-5060-5953-4,B_50605953_001,《黄帝内经》的哲学智慧,陈全功　著,东方出版社,1356969600000
978-7-5060-6275-6,B_50606275_001,孟子与万章,南怀瑾　讲述,东方出版社,1367337600000
978-7-5060-7073-7,B_50607073_001,请把你的手伸给我：一个女心理咨询师的十年乡村咨询手记,周永红　著,人民出版社,1385827200000
978-7-5060-7076-8,B_50607076_001,南怀瑾与彼得·圣吉：关于禅、生命和认知的对话,南怀瑾　讲述,东方出版社,1391184000000
978-7-5060-7395-0,B_50607395_001,原本大学微言（上）,南怀瑾　讲述,东方出版社,1404144000000
978-7-5060-7395-0,B_50607395_002,原本大学微言（下）,南怀瑾　讲述,东方出版社,1404144000000
978-7-5060-7396-7,B_50607396_001,论语别裁（上）,南怀瑾　讲述,东方出版社,1404144000000
978-7-5060-7396-7,B_50607396_002,论语别裁（下）,南怀瑾　讲述,东方出版社,1404144000000
978-7-5060-7434-6,B_50607434_001,孟子与离娄,南怀瑾　讲述,东方出版社,1412092800000
978-7-5060-7532-9,B_50607532_001,孟子与尽心篇,南怀瑾　讲述,东方出版社,1406822400000
978-7-5060-7534-3,B_50607534_001,老子他说（上）,南怀瑾　讲述,东方出版社,1406822400000
978-7-5060-7534-3,B_50607534_002,老子他说（下）,南怀瑾　讲述,东方出版社,1406822400000
978-7-5060-7984-6,B_50607984_001,静坐修道与长生不老,南怀瑾　讲述,东方出版社,1435680000000
978-7-5060-8019-4,B_50608019_001,孟子旁通,南怀瑾　讲述,东方出版社,1425139200000
978-7-5060-7910-5,B_50608027_001,孟子与滕文公、告子,南怀瑾　讲述,东方出版社,1427817600000
978-7-5097-1313-6,B_50971313_001,人学思潮前沿问题探究,沈亚生　等著,社会科学文献出版社,1267372800000
7-5604-2060-5,B_56042060_001,人民史观论,杜向民　刘滨　著,西北大学出版社,1122825600000
978-7-5610-5242-6,B_56105242_001,马克思主义哲学应用释义,郭国勋　著,辽宁大学出版社,1164902400000
978-7-80106-768-5,B_80106768_001,哲学·学习·教育,郝贵生　著,线装书局,1204300800000
7-80638-977-6,B_80638977_001,应用哲学导论,郭国勋　等著,辽海出版社,949334400000
7-01-000004-2,B_01000004_001,革命回忆录（21）,人民出版社　编辑,人民出版社,558720000000
7-01-000014-X,B_01000014_001,革命烈士传 （二）,《革命烈士传》编辑委员会　编,人民出版社,565286400000
7-01-000018-2,B_01000018_001,侯外庐史学论文选集（上）,中国社会科学院历史研究所中国思想史研究室　编,人民出版社,558720000000
7-01-000034-4,B_01000034_001,德国侵略山东史,王守中　著,人民出版社,567964800000
7-01-000054-9,B_01000054_001,中国历史学年鉴 1987,中国史学会《中国历史学年鉴》编辑部　编,人民出版社,573148800000
7-01-000055-7,B_01000055_001,罗帅最后十五年,黄瑶　李志经　杨国庆　著,人民出版社,552063600000
7-01-000056-5,B_01000056_001,近代中国的知识分子,吴廷嘉　著,人民出版社,562694400000
7-01-000074-3,B_01000074_001,马克思　恩格斯论历史科学,黎澍　蒋大椿　主编,人民出版社,567964800000
7-01-000081-6,B_01000081_001,文艺复兴时代的巨人,吴泽义　等编著,人民出版社,560016000000
7-01-000081-6,B_01000081_002,文艺复兴时代的巨人,吴泽义　等编著,人民出版社,573148800000
7-01-000082-4,B_01000082_001,国际共运史研究　第三辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,567964800000
7-01-000085-9,B_01000085_001,刘大年史学论文选集,,人民出版社,565286400000
7-01-000091-3,B_01000091_001,翦伯赞史学论文选集（第一辑）,翦伯赞　著,人民出版社,344448000000
7-01-000103-0,B_01000103_001,中国近代史稿（第一册）,中国社会科学院近代史研究所,人民出版社,273427200000
7-01-000104-9,B_01000104_001,中国近代史稿（第二册）,中国社会科学院近代史研究所,人民出版社,454867200000
7-01-000114-6,B_01000114_001,世界史　古代史,崔连仲　主编,人民出版社,420566400000
7-01-000115-4,B_01000115_001,世界史 中世纪史,刘明翰　主编,人民出版社,589042800000
7-01-000117-0,B_01000117_001,世界史 近代史（下）,刘祚昌等　主编,人民出版社,465408000000
7-01-000126-X,B_01000126_001,经济学说史 上册,鲁友章 李宗正　主编,人民出版社,-139478400000
7-01-000130-8,B_01000130_001,明清土地契约文书研究,杨国桢　著,人民出版社,570643200000
7-01-000134-0,B_01000134_001,中国共产党抗日战争时期大事记（1937—1945）,肖一平　翁仲二　杨圣清　何进　王建众　编,人民出版社,573148800000
7-01-000175-8,B_01000175_001,革命烈士传（第三集）,《革命烈士传》编辑委员会,人民出版社,573148800000
7-01-000178-2,B_01000178_001,国际共运史研究　第四辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,570643200000
7-01-000195-2,B_01000195_001,史学情报 1988年第1期,中国史学会《史学情报》编辑部　编,人民出版社,567964800000
7-01-000202-9,B_01000202_001,简明清史 第二册,戴逸　主编,人民出版社,465408000000
7-01-000205-3,B_01000205_001,中国经济史论丛 续集,傅筑夫　著,人民出版社,570643200000
7-01-000232-0,B_01000232_001,五二〇运动资料（第二辑）,中国第二历史档案馆　中共南京市委党史办公室　编,人民出版社,560016000000
7-01-000235-5,B_01000235_001,广州农民运动讲习所资料选编,广东农民运动讲习所旧址纪念馆　编,人民出版社,562694400000
7-01-000239-8,B_01000239_001,中国封建土地关系发展史,樊树志　著,人民出版社,586364400000
7-01-000248-7,B_01000248_001,从闭关到开放——晚清“洋务”热透视,李时岳　胡滨　著,人民出版社,596908800000
7-01-000251-7,B_01000251_001,中国人口史,赵文林　谢淑君　著,人民出版社,581094000000
7-01-000253-3,B_01000253_001,不屈的共产党人（五）,,人民出版社,570643200000
7-01-000259-2,B_01000259_001,湖南农民运动资料选编,中国革命博物馆　湖南省博物馆　编,人民出版社,591638400000
7-01-000263-0,B_01000263_001,共产国际与中国革命资料选辑(1928-1943),,人民出版社,591638400000
7-01-000271-1,B_01000271_001,中国近代经济史（1840—1894）（上册）,严中平　主编,人民出版社,623174400000
7-01-000271-1,B_01000271_002,中国近代经济史（1895—1927）（中册）,汪敬虞　主编,人民出版社,978278400000
7-01-000271-1,B_01000271_003,中国近代经济史（1840—1894）（下册）,严中平　主编,人民出版社,623174400000
7-01-000271-1,B_01000271_004,中国近代经济史（1895—1927）（上册）,汪敬虞　主编,人民出版社,978278400000
7-01-000272-X,B_01000272_001,大学世界历史地图——从地图看世界历史行程,吴于廑　主编,人民出版社,589042800000
7-01-000279-7,B_01000279_001,翦伯赞史学论文选集（第二辑）,翦伯赞　著,人民出版社,657388800000
7-01-000282-7,B_01000282_001,中国农民战争史　隋唐五代十国卷,李斌城　主编,人民出版社,586278000000
7-01-000283-5,B_01000283_001,古代城邦史研究,日知　主编,人民出版社,628444800000
7-01-000288-6,B_01000288_001,国际共运史研究　第五辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,582390000000
7-01-000312-2,B_01000312_001,中国封建社会经济史 第五卷,傅筑夫　著,人民出版社,612630000000
7-01-000314-9,B_01000314_001,当代国际共运大事记（1979——1984）,《当代国际共运大事记》编辑组　编,人民出版社,586364400000
7-01-000357-2,B_01000357_001,海陆丰革命根据地研究,广东省社会科学学会联合会　广东省中共党史学会　中共陆丰县委党史办公室　中共海丰县委党史办公室　编,人民出版社,591638400000
7-01-000358-0,B_01000358_001,战后美国史,韩铁等　著,人民出版社,612630000000
7-01-000360-2,B_01000360_001,中国历史学年鉴 1988,中国史学会《中国历史学年鉴》编辑部　编,人民出版社,596908800000
7-01-000370-X,B_01000370_001,方志敏传,石凌鹤　李希文　石蔚春,人民出版社,691516800000
7-01-000372-6,B_01000372_001,史学情报 1988年第3期,中国史学会《史学情报》编辑部　编,人民出版社,583686000000
7-01-000375-0,B_01000375_001,国际共运史研究　第六辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,599587200000
7-01-000381-5,B_01000381_001,辽沈决战（上）,中共中央党史资料征集委员会　中国人民解放军辽沈战役纪念馆建馆委员会　《辽沈决战》编审小组　合编,人民出版社,591638400000
7-01-000400-5,B_01000400_001,中国大革命史（1924—1927）（上册）,王宗华　主编,人民出版社,653410800000
7-01-000407-2,B_01000407_001,当代世界史（1945—1987）,徐天新等　著,人民出版社,599587200000
7-01-000413-7,B_01000413_001,辽沈决战（下）,中共中央党史资料征集委员会　中国人民解放军辽沈战役纪念馆建馆委员会　《辽沈决战》编审小组　合编,人民出版社,591638400000
7-01-000415-3,B_01000415_001,赣粤边三年游击战争,陈丕显　著,人民出版社,604684800000
7-01-000438-2,B_01000438_001,明清社会经济变迁论,傅衣凌　著,人民出版社,599587200000
7-01-000444-7,B_01000444_001,沙俄侵华史 第四卷上,中国社会科学院近代史研究所　编,人民出版社,638899200000
7-01-000445-5,B_01000445_001,沙俄侵华史 第四卷下,中国社会科学院近代史研究所　编,人民出版社,638899200000
7-01-000462-5,B_01000462_001,周恩来传(1898—1949),金冲及　主编,人民出版社 中央文献出版社,602265600000
7-01-000471-4,B_01000471_001,社会主义思想史新论,王永江　著,人民出版社,621874800000
7-01-000480-3,B_01000480_001,唐太宗传,赵克尧　许道勋　著,人民出版社,465408000000
7-01-000490-0,B_01000490_001,季米特洛夫的晚年——秘书的观察和纪实,[保]内·甘乔夫斯基(Ганчовски，Н.)　著,人民出版社,678207600000
7-01-000512-5,B_01000512_001,中国土地改革史（1921—1949）,赵效民　主编,人民出版社,642783600000
7-01-000513-3,B_01000513_001,中国资本主义发展史 第二卷 旧民主主义革命时期的中国资本主义,许涤新 吴承明主编,人民出版社,1054396800000
7-01-000516-8,B_01000516_001,国际共运史研究　第七辑,中共中央马克思恩格斯列宁斯大林著作编译局中共中央国际共运史研究所　编,人民出版社,620578800000
7-01-000530-3,B_01000530_001,五四运动简史,彭明　著,人民出版社,607363200000
7-01-000531-1,B_01000531_002,中国大革命史（1924—1927）（下册）,王宗华　主编,人民出版社,652114800000
7-01-000534-6,B_01000534_001,外国经济史 第四册 近代现代,樊亢 宋则行　主编,人民出版社,641487600000
7-01-000574-5,B_01000574_001,黄炎培,尚丁　著,人民出版社,641487600000
7-01-000580-X,B_01000580_001,左权传,王孝柏　刘元生,人民出版社,641487600000
7-01-000597-4,B_01000597_001,民国盐务史稿,丁长清　主编,人民出版社,652114800000
7-01-000609-1,B_01000609_001,唐明皇与杨贵妃,许道勋　赵克尧　著,人民出版社,649436400000
7-01-000610-5,B_01000610_001,中国历史学年鉴 1989年版,中国史学会《中国历史学年鉴》编辑部　编,人民出版社,648054000000
7-01-000616-4,B_01000616_001,创业之路,中国革命博物馆　编,人民出版社,623174400000
7-01-000637-7,B_01000637_001,河南经济事典,胡悌云　主编,人民出版社,951840000000
7-01-000656-3,B_01000656_001,宋代盐业经济史,郭正忠　著,人民出版社,646758000000
7-01-000657-1,B_01000657_001,美国对华政策文件选编——从鸦片战争到第一次世界大战（1842—1918）,阎广耀 方生　选译,人民出版社,652114800000
7-01-000703-9,B_01000703_001,共和国元勋风范记事,高路　主编,人民出版社,644166000000
7-01-000728-4,B_01000728_001,苏联史纲（1917-1937）上册,陈之骅　主编,人民出版社,665337600000
7-01-000728-4,B_01000728_002,苏联史纲（1917-1937）下册,陈之骅　主编,人民出版社,665337600000
7-01-000735-7,B_01000735_001,甲午战争史,戚其章　著,人民出版社,653410800000
7-01-000739-X,B_01000739_001,新编中国革命史,姜华宣 主编,人民出版社,738864000000
7-01-000752-7,B_01000752_001,林则徐传,杨国桢著,人民出版社,812476800000
7-01-000760-8,B_01000760_001,法国通史简编,沈炼之　主编,人民出版社,659980800000
7-01-000776-4,B_01000776_001,东北抗日联军斗争史,《东北抗日联军斗争史》编写组,人民出版社,665337600000
7-01-000789-6,B_01000789_001,东北抗日游击日记,周保中,人民出版社,679590000000
7-01-000806-X,B_01000806_001,当代欧美史学评析——中国留美历史学者论文集,中国留美历史学会　编,人民出版社,659980800000
7-01-000877-9,B_01000877_001,西辽史纲,魏良弢　著,人民出版社,678207600000
7-01-000900-7,B_01000900_001,美国外交政策史 1775-1989,杨生茂　主编,人民出版社,688924800000
7-01-000901-5,B_01000901_001,抗美援朝研究,刘宏煊　主编,人民出版社,659980800000
7-01-000928-7,B_01000928_001,中国近代社会史,乔志强　主编,人民出版社,696873600000
7-01-000967-8,B_01000967_001,美台关系四十年（1949-1989）,资中筠　何迪　编,人民出版社,688924800000
7-01-000973-2,B_01000973_001,我的红军生涯,王宏坤,人民出版社,679590000000
7-01-001004-8,B_01001004_001,世界史 古代史,崔连仲　主编,人民出版社,420566400000
